"","KEGG.Pathway","Sample.Type","N","mean","sd","se"
"1","Amino Acid Metabolism","Small Intestine",4,10.0142487782153,0.746214188228916,0.373107094114458
"2","Amino Acid Metabolism","Ceca",5,8.63786894705334,0.368895895212852,0.164975259663315
"3","Amino Acid Metabolism","Large Intestine",5,10.7173276290461,0.448864533969622,0.200738322128968
"4","Amino Acid Metabolism","Cloaca",2,8.92038216651755,0.494986448203895,0.350008274120418
"5","Biosynthesis of Other Secondary Metabolites","Small Intestine",4,0.782678996809634,0.0569461894195141,0.028473094709757
"6","Biosynthesis of Other Secondary Metabolites","Ceca",5,0.730414362128004,0.0754478482808898,0.033741303502432
"7","Biosynthesis of Other Secondary Metabolites","Large Intestine",5,0.892623824463551,0.105848426756382,0.0473368555077354
"8","Biosynthesis of Other Secondary Metabolites","Cloaca",2,0.742191153833329,0.05065234600642,0.0358166173441469
"9","Cancers","Small Intestine",4,0.127174811902033,0.0382379184164956,0.0191189592082478
"10","Cancers","Ceca",5,0.0941950972654794,0.016986067273551,0.00759640021880893
"11","Cancers","Large Intestine",5,0.126351035412951,0.0161736510341857,0.0072330766313598
"12","Cancers","Cloaca",2,0.102162446153721,0.0187447539316239,0.0132545426167245
"13","Carbohydrate Metabolism","Small Intestine",4,9.66796817487087,0.78758805404416,0.39379402702208
"14","Carbohydrate Metabolism","Ceca",5,10.905488928698,0.795417110772634,0.355721346030818
"15","Carbohydrate Metabolism","Large Intestine",5,10.7342414456773,0.913824451836543,0.408674718761598
"16","Carbohydrate Metabolism","Cloaca",2,11.3054701843946,0.648324606766116,0.458434725854422
"17","Cell Growth and Death","Small Intestine",4,0.465995209248107,0.125845893754161,0.0629229468770805
"18","Cell Growth and Death","Ceca",5,0.304590858064103,0.0853267620508859,0.0381592880491461
"19","Cell Growth and Death","Large Intestine",5,0.413119657703765,0.04081145818928,0.0182514389544241
"20","Cell Growth and Death","Cloaca",2,0.321366293090486,0.104891838053746,0.0741697299789252
"21","Cell Motility","Small Intestine",4,3.55027106049877,1.63217923989043,0.816089619945213
"22","Cell Motility","Ceca",5,2.3622689626632,1.06283131635021,0.47531261439493
"23","Cell Motility","Large Intestine",5,2.23475486184495,0.810078353816372,0.362278053246907
"24","Cell Motility","Cloaca",2,1.46346440188318,0.65063343431668,0.460067313472017
"25","Cellular Processes and Signaling","Small Intestine",4,4.22232105542728,0.535001809561776,0.267500904780888
"26","Cellular Processes and Signaling","Ceca",5,4.89089044774076,0.580664653654367,0.259681127540507
"27","Cellular Processes and Signaling","Large Intestine",5,3.75718538714619,0.606688087651074,0.27131916102543
"28","Cellular Processes and Signaling","Cloaca",2,4.68425418379359,0.568223071990296,0.40179438743099
"29","Digestive System","Small Intestine",4,0.051328196933871,0.0323820646869996,0.0161910323434998
"30","Digestive System","Ceca",5,0.0336524210959292,0.00609727066552629,0.00272678233706643
"31","Digestive System","Large Intestine",5,0.0362628821651926,0.0121999359214259,0.00545597720828998
"32","Digestive System","Cloaca",2,0.0335933861486041,0.003836402102329,0.00271274594191516
"33","Endocrine System","Small Intestine",4,0.370144096494715,0.0833224638359277,0.0416612319179638
"34","Endocrine System","Ceca",5,0.19824048525452,0.0541628659192605,0.0242223700103346
"35","Endocrine System","Large Intestine",5,0.441786258641484,0.0615134256101565,0.0275096402386373
"36","Endocrine System","Cloaca",2,0.206518189144051,0.0770930488529007,0.0545130176262319
"37","Energy Metabolism","Small Intestine",4,5.42762211799264,0.656995530813162,0.328497765406581
"38","Energy Metabolism","Ceca",5,4.84549094727919,0.196730167730072,0.0879804056538753
"39","Energy Metabolism","Large Intestine",5,5.28165523457303,0.36318454301803,0.162421065313102
"40","Energy Metabolism","Cloaca",2,4.82843023591075,0.121366632774894,0.085819169044905
"41","Environmental Adaptation","Small Intestine",4,0.131003998810492,0.0228989580347715,0.0114494790173857
"42","Environmental Adaptation","Ceca",5,0.119183302065703,0.0307016037615827,0.0137301746058324
"43","Environmental Adaptation","Large Intestine",5,0.12590148339087,0.0237996129396958,0.0106435104742687
"44","Environmental Adaptation","Cloaca",2,0.109072532173514,0.0166818526573449,0.0117958511367634
"45","Enzyme Families","Small Intestine",4,2.01691763616481,0.121592965843497,0.0607964829217487
"46","Enzyme Families","Ceca",5,1.97634077797766,0.0534299837606394,0.0238946151450999
"47","Enzyme Families","Large Intestine",5,1.7893510310471,0.117794859534754,0.0526794626639496
"48","Enzyme Families","Cloaca",2,1.98881498590459,0.0398822279515749,0.0282009938333863
"49","Excretory System","Small Intestine",4,0.0387226140739942,0.0149502692559725,0.00747513462798626
"50","Excretory System","Ceca",5,0.0333354233282597,0.0155649294553924,0.00696084806544923
"51","Excretory System","Large Intestine",5,0.0422537379614238,0.0171060041164431,0.00765003760555161
"52","Excretory System","Cloaca",2,0.0421957482800479,0.00485364022513606,0.00343204191663351
"53","Folding, Sorting and Degradation","Small Intestine",4,2.22775651729489,0.205359064710256,0.102679532355128
"54","Folding, Sorting and Degradation","Ceca",5,2.12885419336249,0.181382610655268,0.0811167694723112
"55","Folding, Sorting and Degradation","Large Intestine",5,2.09675817583766,0.162790294272096,0.0728020328139201
"56","Folding, Sorting and Degradation","Cloaca",2,2.05132588635207,0.0198744240084612,0.0140533399885596
"57","Genetic Information Processing","Small Intestine",4,2.25056391710944,0.212922454851943,0.106461227425971
"58","Genetic Information Processing","Ceca",5,2.51657769711842,0.226847288707511,0.101449191612303
"59","Genetic Information Processing","Large Intestine",5,2.0758914413667,0.213714299736066,0.0955759403947216
"60","Genetic Information Processing","Cloaca",2,2.40261585407223,0.0640539666746598,0.0452929941975491
"61","Glycan Biosynthesis and Metabolism","Small Intestine",4,1.76740196689385,0.0831352576878808,0.0415676288439404
"62","Glycan Biosynthesis and Metabolism","Ceca",5,2.09347816296987,0.295533022884302,0.13216638575306
"63","Glycan Biosynthesis and Metabolism","Large Intestine",5,1.744833888318,0.243682242355809,0.108978011763433
"64","Glycan Biosynthesis and Metabolism","Cloaca",2,1.98131397934985,0.0659154888906115,0.0466092891797779
"65","Immune System","Small Intestine",4,0.0381040700793151,0.00725649915597779,0.0036282495779889
"66","Immune System","Ceca",5,0.0399516448483321,0.00562444807997451,0.00251532964854824
"67","Immune System","Large Intestine",5,0.0462217847135976,0.00620864101431815,0.00277658867118172
"68","Immune System","Cloaca",2,0.038454201015452,0.00522519904442541,0.00369477367736268
"69","Immune System Diseases","Small Intestine",4,0.0553497824775632,0.00608557702525155,0.00304278851262577
"70","Immune System Diseases","Ceca",5,0.0466587639116145,0.0068607045155414,0.00306820033405807
"71","Immune System Diseases","Large Intestine",5,0.05405298093055,0.0107637522650504,0.004813696351524
"72","Immune System Diseases","Cloaca",2,0.047405831740769,0.00976019636656654,0.0069015010365115
"73","Infectious Diseases","Small Intestine",4,0.509621232920971,0.102261129930876,0.0511305649654382
"74","Infectious Diseases","Ceca",5,0.539367912921608,0.0958860931227394,0.0428815644638641
"75","Infectious Diseases","Large Intestine",5,0.417807050941529,0.0702724357948147,0.031426788676339
"76","Infectious Diseases","Cloaca",2,0.507836061121757,0.0729560448227629,0.0515877140227253
"77","Lipid Metabolism","Small Intestine",4,3.48581395106858,0.465189738657744,0.232594869328872
"78","Lipid Metabolism","Ceca",5,2.92927851375511,0.162002673777052,0.0724497982204422
"79","Lipid Metabolism","Large Intestine",5,4.13126895265583,0.542798806799503,0.242747006021893
"80","Lipid Metabolism","Cloaca",2,3.11482631076195,0.313122798745309,0.221411254336918
"81","Membrane Transport","Small Intestine",4,13.3270207977571,1.38746546913112,0.69373273456556
"82","Membrane Transport","Ceca",5,17.1902093859524,2.23892032181054,1.00127560715482
"83","Membrane Transport","Large Intestine",5,13.1188103699641,1.43470234957507,0.641618396225703
"84","Membrane Transport","Cloaca",2,17.6966354891834,1.6518566389771,1.16803903096872
"85","Metabolic Diseases","Small Intestine",4,0.0880650462547372,0.0190653319889954,0.00953266599449771
"86","Metabolic Diseases","Ceca",5,0.0732453435245316,0.0162139488270716,0.00725109835220703
"87","Metabolic Diseases","Large Intestine",5,0.0769384143398839,0.0183841750403386,0.0082216530200904
"88","Metabolic Diseases","Cloaca",2,0.0648766328423107,0.00564121740220279,0.00398894307924515
"89","Metabolism","Small Intestine",4,2.6910000125176,0.28561751433594,0.14280875716797
"90","Metabolism","Ceca",5,3.10882295871791,0.264880543625046,0.11845818029254
"91","Metabolism","Large Intestine",5,2.62042422172235,0.266515390841765,0.119189306194422
"92","Metabolism","Cloaca",2,3.13017199200808,0.278830301219849,0.197162796792843
"93","Metabolism of Cofactors and Vitamins","Small Intestine",4,4.19798930921543,0.399551396781528,0.199775698390764
"94","Metabolism of Cofactors and Vitamins","Ceca",5,3.72784095338278,0.228476762253304,0.102177914335489
"95","Metabolism of Cofactors and Vitamins","Large Intestine",5,3.89863095309056,0.382748657586628,0.171170403332098
"96","Metabolism of Cofactors and Vitamins","Cloaca",2,3.77672533355098,0.0201692656582682,0.0142618245185144
"97","Metabolism of Other Amino Acids","Small Intestine",4,1.86284772311979,0.178387966676915,0.0891939833384577
"98","Metabolism of Other Amino Acids","Ceca",5,1.74858006208217,0.0731889238710053,0.032731081795125
"99","Metabolism of Other Amino Acids","Large Intestine",5,2.08857461428241,0.152963549836108,0.068407379102643
"100","Metabolism of Other Amino Acids","Cloaca",2,1.80321830276443,0.0797933697625039,0.0564224328527921
"101","Metabolism of Terpenoids and Polyketides","Small Intestine",4,1.94814177673172,0.171638865339719,0.0858194326698593
"102","Metabolism of Terpenoids and Polyketides","Ceca",5,1.55926461460601,0.13207091639511,0.0590639093820316
"103","Metabolism of Terpenoids and Polyketides","Large Intestine",5,2.29120591948809,0.243112377224207,0.10872316032898
"104","Metabolism of Terpenoids and Polyketides","Cloaca",2,1.61737737705083,0.193592998223897,0.136890921834353
"105","Nervous System","Small Intestine",4,0.0909840487547049,0.0288858350335913,0.0144429175167957
"106","Nervous System","Ceca",5,0.0554673354426431,0.00870217618370577,0.00389173149978916
"107","Nervous System","Large Intestine",5,0.0653382988163235,0.0270645834340605,0.0121036496682548
"108","Nervous System","Cloaca",2,0.0628981618512977,0.00895615718193555,0.00633295947671923
"109","Neurodegenerative Diseases","Small Intestine",4,0.262813266515158,0.133719087132533,0.0668595435662666
"110","Neurodegenerative Diseases","Ceca",5,0.199693970758469,0.0359687567491099,0.0160857170314328
"111","Neurodegenerative Diseases","Large Intestine",5,0.262614562941232,0.0795184578060737,0.0355617354240659
"112","Neurodegenerative Diseases","Cloaca",2,0.20299684874107,0.0320178328351853,0.0226400267166568
"113","Nucleotide Metabolism","Small Intestine",4,3.16660064863166,0.418068702903965,0.209034351451982
"114","Nucleotide Metabolism","Ceca",5,3.05280617827782,0.405027890232365,0.181133979068578
"115","Nucleotide Metabolism","Large Intestine",5,3.03265295815341,0.366073562390654,0.163713074054203
"116","Nucleotide Metabolism","Cloaca",2,3.04018866366957,0.232099027502661,0.164118796253935
"117","Poorly Characterized","Small Intestine",4,5.27407528336237,0.416568504169927,0.208284252084963
"118","Poorly Characterized","Ceca",5,5.30901546525235,0.283585707173683,0.126823383737541
"119","Poorly Characterized","Large Intestine",5,5.12797793099709,0.0928983206275902,0.0415453919837725
"120","Poorly Characterized","Cloaca",2,5.19102859884499,0.168997544104032,0.119499309439834
"121","Replication and Repair","Small Intestine",4,6.84601389452218,0.834651229592501,0.417325614796251
"122","Replication and Repair","Ceca",5,6.32930909480772,1.0483375149499,0.468830789358236
"123","Replication and Repair","Large Intestine",5,6.56221829838826,0.356537145417869,0.159448258731617
"124","Replication and Repair","Cloaca",2,6.15854910041806,0.616329212704625,0.435810565746806
"125","Signal Transduction","Small Intestine",4,2.68603429731313,0.480259656628649,0.240129828314324
"126","Signal Transduction","Ceca",5,2.48855731028059,0.194038711693414,0.0867767499225912
"127","Signal Transduction","Large Intestine",5,2.16493150346092,0.261519531585271,0.116955090013714
"128","Signal Transduction","Cloaca",2,2.29561116301456,0.0947635743746624,0.0670079660497995
"129","Signaling Molecules and Interaction","Small Intestine",4,0.1953599587817,0.0181781950027334,0.0090890975013667
"130","Signaling Molecules and Interaction","Ceca",5,0.136489157265025,0.0394589908055896,0.0176465971529675
"131","Signaling Molecules and Interaction","Large Intestine",5,0.207478259306069,0.0193206181521203,0.00864044311109145
"132","Signaling Molecules and Interaction","Cloaca",2,0.147820172543125,0.035719683998129,0.0252576307769176
"133","Transcription","Small Intestine",4,2.55508616484182,0.23389690685362,0.11694845342681
"134","Transcription","Ceca",5,3.02897296793116,0.249394163935509,0.111532460750305
"135","Transcription","Large Intestine",5,2.49333246919482,0.161549353085736,0.072247067044164
"136","Transcription","Cloaca",2,3.07792771957111,0.264126340922653,0.186765526756398
"137","Translation","Small Intestine",4,4.16259388529361,0.577398893467097,0.288699446733549
"138","Translation","Ceca",5,3.83704369409038,0.744174835677863,0.332805103944088
"139","Translation","Large Intestine",5,3.90882735194425,0.441117311803262,0.197273659048813
"140","Translation","Cloaca",2,3.77809344816216,0.357231650920034,0.252600922820021
"141","Transport and Catabolism","Small Intestine",4,0.274622605280516,0.0481057466998638,0.0240528733499319
"142","Transport and Catabolism","Ceca",5,0.17833918497023,0.0324085730682745,0.0144935544868861
"143","Transport and Catabolism","Large Intestine",5,0.373912567440591,0.0528560237156172,0.0236379324096922
"144","Transport and Catabolism","Cloaca",2,0.208414839173832,0.0687017521813595,0.048579474846837
"145","Xenobiotics Biodegradation and Metabolism","Small Intestine",4,3.16974309581964,0.540297066027661,0.270148533013831
"146","Xenobiotics Biodegradation and Metabolism","Ceca",5,2.55021447315619,0.411238392138156,0.183911399955726
"147","Xenobiotics Biodegradation and Metabolism","Large Intestine",5,4.54648256263185,0.992111663071042,0.443685823979444
"148","Xenobiotics Biodegradation and Metabolism","Cloaca",2,2.85577212496813,0.3539087831021,0.250251300452974
